contMencion,contPalabrasConArrDentro,contCaracterEspecial,contSignosPuntucion,contCaracMayusculas,contLetrasRepetidas,contParentesis,contEmojis,contOnomatopeyas,contInterjecciones,contInterpelaciones,contDiminutivos,contAumentativos,contPeroyativos,contSuperlativos,conDeterminantes,contIndeterminados,contDemostrativos,contPronombres1eraPersona,contPronombres2onaPersona,contVerbosSerEstarParecer,contVerbosEnPrimeraPersona,contVerbosEnSegundaPersona,contVerbosIndicativos,contVerbosSubjuntivos,contVerbosPresente,contVerbosImperativo,contVerbosPreterito,contVerbosFuturo,contVerbosCondicional,contVerbosParticipio,contVerbosGerundio,contAdverbiosCantidad,contAdverbiosNegacion,contAdverbiosDuda,contAdjetivosCantidad,insultos,likes,retweets,diaSetmana,hora,seguidors,seguits,violento,KMeans_Clusters
1,0,0,6,1.242,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,3,3,4,3,4,2,3,0,0,0,0,2,1,0,0,2,0,0,6,85171,89,474,0,2
0,0,0,0,98.837,1,0,0,3,2,2,0,0,1,0,0,0,0,0,0,1,2,1,3,2,3,2,1,0,0,0,1,0,0,0,0,1,0,0,6,79043,867,2190,0,2
3,0,0,5,9.559,0,0,0,1,2,2,0,0,1,0,2,1,0,0,0,0,2,0,2,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0,6,76623,546,772,0,2
1,0,6,16,7.735,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,2,1,2,1,2,0,0,1,0,0,0,0,0,3,2,1,6,73137,587,1017,1,2
0,0,1,5,4.348,2,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,1,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,14,1,6,72852,1909,772,0,2
3,0,3,10,8.759,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2,4,2,4,2,4,0,0,0,2,0,0,0,0,0,0,0,6,63829,3759,3747,0,2
0,0,0,2,4.464,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,1,4,4,6,5,6,4,4,0,0,0,1,0,0,0,0,0,0,0,5,67619,147,218,0,2
3,0,0,6,2.927,5,0,0,3,3,3,0,1,0,0,7,0,0,0,0,0,3,2,3,2,3,2,3,1,0,0,0,0,0,0,0,2,2,1,1,43263,1763,1284,0,3
0,0,3,9,9.155,3,0,0,1,3,2,0,1,0,1,3,1,0,0,0,1,3,3,3,3,3,3,1,1,0,1,0,0,0,0,0,0,3,7,4,57830,21310,21267,0,2
0,0,3,8,9.22,3,0,0,1,3,2,0,1,0,1,3,1,0,0,0,1,3,3,3,3,3,3,1,1,0,1,0,0,0,0,0,0,0,0,2,29344,62,92,0,4
